wgt,female,age,educ,inc_q,emp_in,urbanicity,account_fin,account_mob,account,dig_account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,receive_agriculture,merchantpay_dig,pay_utilities,domestic_remittances,anydigpayment,fin2,fin17a,fin17c,fin19,fin20,fin22a,fin22b,fin22d,fin22e,fin22f,fin24,fin24a,fin24b,fin24c,fh1,fh2,fh2a,fin30,fin32,fin37,fin38,fin42,fin45,internet_use,con1,con24
0.689054358,2,46,3,1,1,2,1,1,1,1,1,1,1,4,4,4,1,4,3,1,1,1,2,1,2,2,2,2,2,2,1,3,4,2,2,2,2,2,1,2,2,2,1,1,1,1
0.795673691,2,72,1,1,1,1,1,0,1,0,0,0,2,2,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,4,0,1,2
0.332274182,2,74,2,1,2,2,1,0,1,0,1,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,1,8,,5,2,2,2,2,2,2,2,2,2,1,0,2,2
1.448369449,2,22,2,3,1,1,1,0,1,1,0,1,4,4,4,2,1,4,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,2,2,2,1,6,1,1,1
0.195939096,2,67,1,2,1,1,1,0,1,0,0,0,4,4,4,4,0,4,2,0,1,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,2,2,2,2,2,0,2,2
0.468407761,1,72,1,1,1,1,0,0,0,0,0,0,2,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,7,,6,2,2,2,2,2,1,2,2,2,1,0,1,2
1.359719782,1,17,2,5,2,2,1,0,1,0,0,1,4,4,4,4,0,4,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,5,1,1,1
0.464580194,1,70,1,2,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,0,2,2
0.183241411,1,73,2,5,2,1,1,0,1,0,0,0,1,4,3,4,0,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,1,2,1,2,4,0,1,2
0.998811945,1,40,2,2,2,1,1,0,1,0,1,1,4,1,4,4,0,4,3,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,4,0,1,2
1.525216035,2,53,2,4,2,2,1,0,1,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1
0.712894723,1,23,2,2,2,2,1,0,1,1,1,0,2,4,4,4,0,4,3,0,1,2,2,2,2,1,1,2,2,2,3,1,2,2,2,2,2,2,1,2,2,2,5,1,1,2
0.844545964,2,37,2,5,1,1,1,0,1,1,1,1,4,4,4,4,0,1,3,1,1,1,2,2,2,2,2,2,2,1,5,2,3,2,2,2,2,1,2,2,2,2,4,0,1,2
1.009929048,1,54,1,2,2,1,1,0,1,0,1,0,4,1,4,4,0,4,3,1,2,2,2,2,2,2,1,1,2,1,5,1,4,1,2,2,2,2,2,1,2,2,3,0,1,2
0.183241411,2,70,1,5,2,2,0,0,0,0,0,0,4,5,4,4,0,2,3,0,2,2,2,2,2,2,2,2,2,2,8,,5,2,2,2,2,1,2,3,2,2,4,0,2,2
0.594567033,1,44,2,5,1,2,1,0,1,1,0,1,1,4,4,4,1,4,3,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,4,1,1,1
2.071840875,1,53,2,3,1,1,1,0,1,1,1,0,2,4,4,4,0,2,3,0,1,2,2,2,2,1,2,2,2,1,7,,6,2,2,2,1,1,1,2,2,2,3,1,1,2
1.525643447,2,63,2,2,1,2,1,0,1,1,1,0,4,4,4,2,0,4,3,0,1,2,2,2,2,2,2,2,2,1,4,1,2,2,2,2,2,2,2,2,2,1,4,0,2,2
1.276674312,2,64,2,3,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,9,,6,2,2,2,2,2,2,2,2,2,1,0,1,2
1.137141717,2,42,2,3,1,2,0,0,0,0,1,0,2,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,1,4,1,1,1,2,2,2,2,1,2,2,2,4,0,1,2
0.676666569,1,58,1,1,2,1,0,0,0,0,1,0,4,4,4,2,0,2,1,0,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,1,2,1,2,2,2,1,5,0,2,2
1.444695243,1,56,1,2,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,9,,2,2,2,2,2,2,2,2,2,2,4,1,1,1
0.572646451,1,36,2,3,1,1,1,0,1,1,1,0,5,4,4,4,0,2,3,0,1,2,2,2,2,1,1,1,2,1,5,1,5,2,2,2,2,1,3,2,2,2,4,0,1,2
0.927974296,2,42,1,4,1,2,1,0,1,0,1,1,4,4,4,4,0,2,1,1,2,2,1,2,2,1,1,2,2,2,4,1,2,2,1,1,1,1,2,2,2,2,4,1,1,2
0.444901592,1,52,2,2,1,1,1,0,1,0,1,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,1,1,2,1,7,,5,2,2,2,2,2,2,2,2,2,1,0,2,2
