"year","economy","economycode","regionwb","pop_adult","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity","account_fin","account_mob","account","dig_account","borrowed","saved","receive_wages","receive_transfers","receive_pensions","receive_agriculture","merchantpay_dig","pay_utilities","domestic_remittances","anydigpayment","fin2","fin3","fin4","fin5","fin6","fin8","fin9a","fin9b","fin10","fin17a","fin17c","fin18","fin19","fin20","fin22a","fin22b","fin22d","fin22e","fin22f","fin23","fin24","fin24a","fin24b","fin24c","fin25e1","fin25e2","fin25e4","fin26a","fin26b","fh1","fh2","fh2a","fin30","fin32","fin37","fin38","fin42","fin45","internet_use","con1","con9","con11","con12","con14","con17","con18","con20","con21","con23","con24","con25"
2024,"Sri Lanka","LKA","South Asia",17109247,155800569,1.63967598655495,1,32,2,5,1,1,1,0,1,1,0,1,1,4,4,4,0,4,3,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,5,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1
2024,"Sri Lanka","LKA","South Asia",17109247,113035584,3.11510398249258,2,42,1,1,1,1,1,0,1,0,1,0,2,1,4,4,0,4,3,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,5,1,2,2,2,2,4,2,2,2,2,2,2,1,1,2,2,4,0,1,2,1,1,1,2,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,133528851,0.255334862398641,2,60,2,5,2,2,1,0,1,0,0,0,1,4,1,4,0,4,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,4,2,2,2,2,2,2,1,2,1,2,3,0,1,2,1,1,2,2,8,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,125998497,2.28197078900292,1,38,2,2,2,1,1,0,1,0,1,1,1,4,4,4,0,4,3,1,1,2,1,3,4,2,1,2,2,2,1,2,1,2,1,1,2,2,1,2,4,2,1,2,2,2,4,2,2,2,2,2,2,1,2,2,2,5,1,1,1,1,1,1,2,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,165684899,0.419556984644559,1,69,2,5,2,1,1,0,1,0,0,1,4,4,1,4,0,4,3,1,2,2,1,2,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,4,2,2,2,2,2,2,2,2,1,2,3,1,1,1,2,1,1,2,2,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,170058301,1.06134763408173,1,25,2,5,2,1,1,0,1,0,1,1,4,4,4,4,0,4,3,0,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,178726358,0.682383059898564,1,56,2,5,1,1,1,0,1,0,1,0,1,4,4,4,0,4,3,1,2,2,2,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,2,2,4,2,2,2,2,2,2,1,2,2,2,7,0,1,2,2,1,1,2,8,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,124309694,3.11510398249258,1,26,2,1,2,1,1,0,1,1,0,0,4,4,4,4,0,4,3,0,1,1,1,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,1,2,2,2,2,1
2024,"Sri Lanka","LKA","South Asia",17109247,198477942,0.803759338474855,1,22,2,1,1,1,1,0,1,1,0,0,2,4,4,4,0,1,3,1,1,1,2,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,2,2,2,4,2,2,2,2,2,1,1,2,2,2,3,0,1,1,2,1,1,3,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,200263709,0.587727764080091,1,62,1,1,1,2,1,0,1,0,0,0,4,4,4,4,0,1,3,1,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,2,1,2,2,4,2,2,2,2,2,1,2,2,2,2,3,0,2,2,2,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,207899871,0.477649312601299,1,17,2,3,2,1,1,0,1,0,1,0,4,4,4,4,0,1,3,0,2,2,2,4,4,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,3,2,2,2,4,2,2,2,2,2,1,2,2,2,2,5,1,1,1,2,1,1,1,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,149445739,0.183241410734857,1,42,2,5,1,1,1,0,1,1,1,1,4,4,4,1,1,4,3,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,6,2,2,2,1,1,4,2,2,2,2,1,2,2,2,2,1,3,1,1,1,2,1,1,1,1,2,2,2,2,1
2024,"Sri Lanka","LKA","South Asia",17109247,177297042,0.348322439574322,1,59,2,2,1,2,1,0,1,0,1,0,4,1,4,4,0,4,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,5,1,1,2,2,2,4,2,2,2,2,2,2,2,1,2,2,5,0,1,2,1,1,1,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,126603773,0.724297025130671,1,36,2,3,2,2,1,0,1,1,1,1,4,4,4,4,0,2,3,0,1,1,2,2,6,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,4,2,2,2,4,2,2,2,2,1,1,2,2,2,2,8,1,1,1,1,1,1,2,1,2,2,2,1,1
2024,"Sri Lanka","LKA","South Asia",17109247,141510745,1.53604395525472,2,31,2,5,1,1,0,1,1,1,1,1,1,4,4,2,0,1,1,1,2,2,2,3,3,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,4,2,3,1,2,2,4,2,2,1,1,2,1,1,2,2,1,4,1,1,1,1,1,1,1,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,144471122,0.689054357526333,2,46,3,1,1,2,1,1,1,1,1,1,1,4,4,4,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,3,4,2,1,1,4,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,157085651,0.795673690851009,2,72,1,1,1,1,1,0,1,0,0,0,2,2,4,4,0,4,3,0,2,2,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,4,2,2,2,2,2,2,1,1,2,2,4,0,1,2,1,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,119103767,0.332274182349403,2,74,2,1,2,2,1,0,1,0,1,0,4,4,4,4,0,4,3,0,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,8,1,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,2,2,1,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,154798011,1.44836944856631,2,22,2,3,1,1,1,0,1,1,0,1,4,4,4,2,1,4,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,1,4,1,1,1,1,2,2,2,2,2,1,6,1,1,1,2,1,1,1,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,140682037,0.195939096391072,2,67,1,2,1,1,1,0,1,0,0,0,4,4,4,4,0,4,2,0,1,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,158655724,0.46840776108104,1,72,1,1,1,1,0,0,0,0,0,0,2,4,4,4,0,4,3,0,2,2,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,6,2,2,2,4,2,2,2,2,2,2,1,2,2,2,1,0,1,2,1,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,119525011,1.35971978181062,1,17,2,5,2,2,1,0,1,0,0,1,4,4,4,4,0,4,2,0,2,2,2,2,4,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,2,2,1,2,2,2,2,2,2,5,1,1,1,2,1,1,2,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,156814679,0.464580194342993,1,70,1,2,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,0,2,2,1,2,2,3,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,121168675,0.183241410734857,1,73,2,5,2,1,1,0,1,0,0,0,1,4,3,4,0,4,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,1,2,2,2,1,2,1,2,4,0,1,1,1,1,2,1,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,134002723,0.998811945025314,1,40,2,2,2,1,1,0,1,0,1,1,4,1,4,4,0,4,3,1,2,2,2,3,3,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,4,2,2,2,2,2,2,2,1,2,2,4,0,1,2,2,1,2,1,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,200518742,1.52521603462858,2,53,2,4,2,2,1,0,1,0,0,0,4,4,4,4,0,4,3,0,2,2,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2
